id,priority,cluster,title,primary_keyword,secondary_keywords,search_intent,target_space_types,doripe_angle,cta_strength,internal_links
B2B001,P0,신규 손님 유입,가게 앞 유동인구는 많은데 첫 방문이 적을 때 점검할 것,신규 손님 유입,첫 방문 늘리기|매장 유입 전략|로컬 마케팅,problem solving,식당|카페|샵,저장하고 싶은 첫인상과 공간 카드 정보의 연결,light,네이버 플레이스/지도|사진/콘텐츠 소재|리뷰/저장/방문 전환
B2B002,P0,신규 손님 유입,오픈 초기 손님이 끊길 때 로컬 공간이 먼저 해야 할 일,오픈 초기 마케팅,신규 매장 홍보|동네 고객 유입|가게 알리기,problem solving,식당|바|공방,발견 후 저장까지 이어지는 소개 정보 설계,light,네이버 플레이스/지도|인스타/숏폼 운영|리뷰/저장/방문 전환
B2B003,P0,신규 손님 유입,주말에는 붐비는데 평일 손님이 부족한 공간 운영법,평일 손님 늘리기,비수기 마케팅|요일별 매출|로컬 공간 운영,problem solving,카페|서점|스튜디오,평일 방문 이유를 저장 가치로 보여주는 관점,light,사진/콘텐츠 소재|재방문/단골/커뮤니티|공간 브랜딩/분위기
B2B004,P0,신규 손님 유입,동네 단골만 오고 새로운 손님이 안 늘 때 바꿀 메시지,새로운 손님 유입,동네 가게 마케팅|고객층 확장|매장 홍보 문구,problem solving,식당|카페|바,처음 보는 사람도 이해하는 공간 카드 메시지,light,공간 브랜딩/분위기|인스타/숏폼 운영|네이버 플레이스/지도
B2B005,P0,신규 손님 유입,검색은 되는데 방문이 안 생기는 로컬 공간의 공통 문제,검색 방문 전환,로컬 SEO|매장 방문 전환|공간 소개 개선,problem solving,샵|갤러리|전시공간,검색 정보와 저장할 이유 사이의 간격 점검,medium,네이버 플레이스/지도|리뷰/저장/방문 전환|사진/콘텐츠 소재
B2B006,P0,신규 손님 유입,가격 할인 없이 첫 방문을 만드는 공간 제안법,첫 방문 마케팅,할인 없는 마케팅|공간 차별화|방문 이유 만들기,problem solving,식당|바|스튜디오,할인보다 기억되는 방문 맥락을 정리하는 방식,light,공간 브랜딩/분위기|사진/콘텐츠 소재|리뷰/저장/방문 전환
B2B007,P0,신규 손님 유입,관광객보다 동네 손님을 먼저 잡아야 하는 공간의 기준,동네 손님 유입,로컬 고객|상권 마케팅|생활권 방문,informational,서점|공방|로컬 공간,저장된 공간이 생활 동선 안에서 다시 떠오르는 흐름,light,재방문/단골/커뮤니티|네이버 플레이스/지도|공간 브랜딩/분위기
B2B008,P0,신규 손님 유입,팝업이 끝난 뒤 손님을 남기려면 행사 전부터 준비할 것,팝업 손님 유입,팝업 마케팅|행사 방문객 전환|로컬 팝업 운영,problem solving,팝업|갤러리|샵,짧은 노출을 저장과 재방문 실마리로 바꾸는 관점,light,리뷰/저장/방문 전환|인스타/숏폼 운영|재방문/단골/커뮤니티
B2B009,P0,신규 손님 유입,골목 안쪽 매장이 위치 약점을 줄이는 온라인 정보 구성,골목 매장 홍보,위치 약점 극복|찾아오는 길 안내|지도 최적화,problem solving,식당|카페|공방,공간 카드에서 위치 불안을 줄이는 정보 우선순위,light,네이버 플레이스/지도|사진/콘텐츠 소재|리뷰/저장/방문 전환
B2B010,P0,신규 손님 유입,객단가는 좋은데 방문자 수가 적은 공간의 유입 진단법,매장 방문자 늘리기,객단가 높은 매장|고객 유입 분석|운영 개선,problem solving,바|스튜디오|전시공간,고가치 공간의 방문 장벽을 저장 정보로 낮추기,light,리뷰/저장/방문 전환|공간 브랜딩/분위기|Doripe 리포트/케이스
B2B011,P0,인스타/숏폼 운영,인스타에 올려도 반응이 없을 때 로컬 공간이 바꿀 소재,인스타 콘텐츠 소재,매장 인스타 운영|콘텐츠 반응 높이기|로컬 숏폼,problem solving,카페|샵|공방,저장하고 싶은 장면 중심으로 소재를 재정리,light,사진/콘텐츠 소재|공간 브랜딩/분위기|신규 손님 유입
B2B012,P0,인스타/숏폼 운영,팔로워는 있는데 방문으로 이어지지 않는 계정의 문제,인스타 방문 전환,매장 SNS 마케팅|팔로워 방문 전환|공간 홍보,problem solving,식당|바|서점,좋아요보다 저장과 방문 의도를 만드는 정보 흐름,medium,리뷰/저장/방문 전환|사진/콘텐츠 소재|신규 손님 유입
B2B014,P0,인스타/숏폼 운영,예쁜 사진만 올리는데 저장이 안 되는 이유,인스타 저장 늘리기,저장형 콘텐츠|공간 인스타|콘텐츠 기획,problem solving,갤러리|전시공간|샵,저장할 정보와 분위기 단서의 균형 잡기,light,사진/콘텐츠 소재|리뷰/저장/방문 전환|공간 브랜딩/분위기
B2B016,P0,네이버 플레이스/지도,네이버 플레이스 조회수는 있는데 예약과 방문이 적을 때,네이버 플레이스 전환,플레이스 최적화|매장 지도 검색|방문 전환,problem solving,식당|스튜디오|공방,지도 정보에서 저장 전 확인하는 요소를 정리,medium,리뷰/저장/방문 전환|사진/콘텐츠 소재|신규 손님 유입
B2B017,P0,네이버 플레이스/지도,지도에서 가게가 비슷해 보일 때 차별점을 보여주는 방법,네이버 지도 마케팅,플레이스 차별화|매장 소개|로컬 검색,problem solving,카페|바|샵,공간 카드식 핵심 차별점 정리로 비교 피로 줄이기,light,공간 브랜딩/분위기|사진/콘텐츠 소재|신규 손님 유입
B2B068,P0,리뷰/저장/방문 전환,저장은 많은데 방문이 적을 때 고객이 망설이는 지점,저장 방문 전환,매장 저장수|방문 결정|로컬 마케팅,problem solving,식당|카페|갤러리,저장 이후 확인 정보와 방문 장벽을 함께 진단,medium,네이버 플레이스/지도|사진/콘텐츠 소재|신규 손님 유입
B2B078,P0,공간 브랜딩/분위기,공간 분위기는 좋은데 설명이 어려울 때 쓰는 언어 정리법,공간 브랜딩 문구,매장 분위기 표현|브랜드 언어|로컬 브랜딩,how-to,카페|갤러리|서점,저장 카드에 담길 한두 문장으로 분위기를 압축,light,사진/콘텐츠 소재|인스타/숏폼 운영|신규 손님 유입
B2B088,P0,재방문/단골/커뮤니티,한 번 온 손님이 다시 올 이유를 만들지 못하는 공간의 문제,재방문 유도,단골 만들기|고객 유지|로컬 커뮤니티,problem solving,식당|카페|서점,저장 이후 다시 떠오르는 방문 계기를 콘텐츠화,light,리뷰/저장/방문 전환|인스타/숏폼 운영|공간 브랜딩/분위기
